Sensor_ID,Month,Hourly_Counts
1,April,1005854
1,August,838069
1,December,1192463
1,February,881310
1,January,871901
1,July,895441
1,June,954095
1,March,1009342
1,May,979720
1,November,1037267
1,October,1028681
1,September,943758
2,April,695109
2,August,641791
2,December,927155
2,February,636002
2,January,704858
2,July,694330
2,June,621169
2,March,702649
2,May,649206
2,November,744945
2,October,477010
2,September,643780
3,April,1014705
3,August,981893
3,December,911297
3,February,87900
3,January,407363
3,July,888107
3,June,833350
3,March,1069562
3,May,892013
3,November,901523
3,October,919197
3,September,869674
4,April,1148257
4,August,1064689
4,December,1244392
4,February,969427
4,January,1035715
4,July,1042025
4,June,960811
4,March,1117448
4,May,1008211
4,November,1074747
4,October,1047186
4,September,971314
5,April,1381018
5,August,963378
5,December,1068849
5,February,375949
5,January,799066
5,July,1012406
5,June,879108
5,March,751351
5,May,958937
5,November,673975
5,October,1028104
5,September,925437
6,April,953646
6,August,1051024
6,December,1187116
6,February,1028553
6,January,1015331
6,July,1030584
6,June,944617
6,March,1080389
6,May,1040433
6,November,1105507
6,October,1151298
6,September,1008301
7,April,114796
7,August,324685
7,December,209144
7,January,175023
7,July,220287
7,June,158011
7,May,191541
7,November,320917
7,October,187365
7,September,234255
8,April,153070
8,August,145010
8,December,146969
8,February,150844
8,January,150208
8,July,153789
8,June,139861
8,March,158362
8,May,153803
8,November,137905
8,October,54501
8,September,140774
9,April,507769
9,August,621154
9,December,442756
9,February,578640
9,January,485848
9,July,626759
9,June,552168
9,March,557598
9,May,661180
9,November,536952
9,October,638250
9,September,561239
10,April,131236
10,August,155035
10,December,118312
10,February,128070
10,January,117649
10,July,155495
10,June,136946
10,March,129828
10,May,155687
10,November,134816
10,October,148106
10,September,131525
11,April,50607
11,August,31232
11,December,54072
11,February,79656
11,January,122446
11,July,32819
11,June,57516
11,March,23748
11,May,33525
11,November,38037
11,October,39842
11,September,33821
12,April,197298
12,August,147372
12,December,203969
12,February,184851
12,January,216206
12,July,152258
12,June,190142
12,March,187274
12,May,149720
12,November,167909
12,October,161291
12,September,107890
14,April,360304
14,August,376634
14,December,286464
14,February,366212
14,January,360679
14,July,368304
14,June,335867
14,March,300880
14,May,368713
14,November,258041
14,October,378781
14,September,270735
15,April,648805
15,August,686773
15,December,645493
15,February,548975
15,January,494944
15,July,590365
15,June,544979
15,March,721014
15,May,629563
15,November,563656
15,October,637573
15,September,604454
17,April,334071
17,August,399639
17,December,327944
17,February,354044
17,January,315492
17,July,373011
17,June,324060
17,March,382181
17,May,382329
17,November,376933
17,October,130251
17,September,334173
18,April,233643
18,August,271619
18,December,227049
18,February,258318
18,January,222458
18,July,269943
18,June,235445
18,March,269939
18,May,283516
18,November,254892
18,October,275854
18,September,259451
19,April,504170
19,August,409279
19,December,471799
19,February,430093
19,January,402761
19,July,411757
19,June,443538
19,March,492947
19,May,449919
19,November,443735
19,October,371802
19,September,354831
20,April,330153
20,August,356742
20,December,311778
20,February,290179
20,January,257471
20,July,303081
20,June,284197
20,March,309029
20,May,286350
20,November,292910
20,October,349430
20,September,331684
21,April,521017
21,August,526404
21,December,480072
21,February,470668
21,January,449123
21,July,486038
21,June,457585
21,March,504387
21,May,471910
21,November,471592
21,October,498162
